Round Date HomeTeam AwayTeam HomeScore AwayScore

1 14/05/2016 Flamengo Sport 1 0
1 14/05/2016 Palmeiras AtleticoPR 4 0
1 14/05/2016 AtleticoMG Santos 1 0
1 14/05/2016 Coritiba Cruzeiro 1 0
1 15/05/2016 Botafogo SaoPaulo 0 1
1 15/05/2016 SantaCruz Vitoria 4 1
1 15/05/2016 Corinthians Gremio 0 0
1 15/05/2016 Figueirense PontePreta 0 0
1 15/05/2016 AmericaMG Fluminense 0 1
1 15/05/2016 Internacional Chapecoense 0 0

2 21/05/2016 PontePreta Palmeiras 2 1
2 21/05/2016 Fluminense SantaCruz 2 2
2 21/05/2016 Cruzeiro Figueirense 2 2
2 22/05/2016 Santos Coritiba 2 1
2 22/05/2016 AtleticoPR AtleticoMG 1 1
2 22/05/2016 Vitoria Corinthians 3 2
2 22/05/2016 SaoPaulo Internacional 1 2
2 22/05/2016 Gremio Flamengo 1 0
2 22/05/2016 Chapecoense AmericaMG 3 1
2 22/05/2016 Sport Botafogo 1 1

3 25/05/2016 Botafogo AtleticoPR 2 1
3 25/05/2016 Figueirense Santos 2 2
3 25/05/2016 Flamengo Chapecoense 2 2
3 25/05/2016 AmericaMG Vitoria 1 1
3 25/05/2016 Palmeiras Fluminense 2 0
3 25/05/2016 Coritiba SaoPaulo 1 1
3 25/05/2016 SantaCruz Cruzeiro 4 1
3 26/05/2016 Corinthians PontePreta 3 0
3 26/05/2016 Internacional Sport 1 0
3 26/05/2016 AtleticoMG Gremio 0 3

4 28/05/2016 Cruzeiro AmericaMG 1 1
4 28/05/2016 AtleticoPR Figueirense 2 1
4 28/05/2016 Chapecoense SantaCruz 1 1
4 29/05/2016 Vitoria AtleticoMG 1 1
4 29/05/2016 Fluminense Botafogo 1 0
4 29/05/2016 SaoPaulo Palmeiras 1 0
4 29/05/2016 Santos Internacional 0 1
4 29/05/2016 Gremio Coritiba 2 0
4 29/05/2016 PontePreta Flamengo 1 2
4 29/05/2016 Sport Corinthians 0 2

5 01/06/2016 Internacional AtleticoPR 1 0
5 01/06/2016 Corinthians Santos 1 0
5 01/06/2016 Coritiba Chapecoense 3 4
5 01/06/2016 SantaCruz Sport 0 1
5 01/06/2016 Botafogo Cruzeiro 0 1
5 01/06/2016 AtleticoMG Fluminense 1 1
5 01/06/2016 Figueirense SaoPaulo 1 0
5 02/06/2016 Flamengo Vitoria 1 0
5 02/06/2016 Palmeiras Gremio 4 3
5 02/06/2016 AmericaMG PontePreta 1 2

6 04/06/2016 AtleticoPR SantaCruz 1 0
6 04/06/2016 Corinthians Coritiba 2 1
6 04/06/2016 Chapecoense Fluminense 0 0
6 05/06/2016 Vitoria Internacional 1 0
6 05/06/2016 Flamengo Palmeiras 1 2
6 05/06/2016 Gremio PontePreta 1 0
6 05/06/2016 AmericaMG Figueirense 1 0
6 05/06/2016 Sport AtleticoMG 4 4
6 05/06/2016 Santos Botafogo 3 0
6 05/06/2016 Cruzeiro SaoPaulo 0 1

7 12/06/2016 Botafogo Vitoria 1 1
7 12/06/2016 Fluminense Gremio 1 1
7 12/06/2016 SaoPaulo AtleticoPR 1 2
7 12/06/2016 Palmeiras Corinthians 1 0
7 12/06/2016 AtleticoMG Cruzeiro 2 3
7 12/06/2016 Internacional AmericaMG 3 1
7 12/06/2016 Coritiba Sport 3 2
7 12/06/2016 Figueirense Flamengo 1 0
7 12/06/2016 PontePreta Chapecoense 2 1
7 12/06/2016 SantaCruz Santos 0 2

8 16/06/2016 Botafogo AmericaMG 3 1
8 16/06/2016 SaoPaulo Vitoria 2 0
8 16/06/2016 Santos Sport 2 0
8 16/06/2016 Cruzeiro Flamengo 0 1
8 16/06/2016 Coritiba Palmeiras 2 2
8 16/06/2016 Chapecoense Gremio 3 3
8 16/06/2016 PontePreta AtleticoPR 3 2
8 16/06/2016 SantaCruz Figueirense 1 0
8 16/06/2016 Internacional AtleticoMG 2 0
8 16/06/2016 Fluminense Corinthians 1 0

9 19/06/2016 Vitoria Chapecoense 1 2
9 19/06/2016 Flamengo SaoPaulo 2 2
9 19/06/2016 Corinthians Botafogo 3 1
9 19/06/2016 Palmeiras SantaCruz 3 1
9 19/06/2016 AtleticoMG PontePreta 3 0
9 19/06/2016 Gremio Cruzeiro 2 0
9 19/06/2016 AtleticoPR Santos 1 0
9 19/06/2016 Figueirense Internacional 3 2
9 19/06/2016 AmericaMG Coritiba 2 1
9 19/06/2016 Sport Fluminense 2 1

10 21/06/2016 Palmeiras AmericaMG 2 0
10 22/06/2016 PontePreta Cruzeiro 0 4
10 22/06/2016 Botafogo Figueirense 0 0
