Round Date Time
0 2016-01-01 00:00:00
1 2016-05-15 18:30:00
2 2016-05-22 18:30:00
3 2016-05-26 21:00:00
4 2016-05-29 18:30:00
5 2016-06-02 21:00:00
6 2016-06-05 18:30:00
7 2016-06-12 19:00:00
8 2016-06-16 20:00:00
9 2016-06-19 19:00:00
10 2016-06-23 21:30:00
11 2016-06-26 18:30:00
12 2016-06-30 21:00:00
13 2016-07-04 20:00:00
14 2016-07-12 20:30:00
15 2016-07-18 20:00:00
16 2016-07-25 20:00:00
17 2016-07-31 18:30:00
18 2016-08-04 21:30:00
19 2016-08-08 21:00:00
20 2016-08-15 21:00:00
21 2016-08-22 20:00:00
22 2016-08-29 20:00:00
23 2016-09-08 21:00:00
24 2016-09-12 20:00:00
25 2016-09-15 21:00:00
26 2016-09-19 19:30:00
27 2016-09-25 00:00:00
28 2016-10-01 00:00:00
29 2016-10-05 00:00:00
30 2016-10-12 00:00:00
31 2016-10-16 00:00:00
32 2016-10-23 00:00:00
33 2016-10-29 00:00:00
34 2016-11-06 00:00:00
35 2016-11-16 00:00:00
36 2016-11-20 00:00:00
37 2016-11-27 00:00:00
38 2016-12-04 00:00:00
