Round,Date,HomeTeam,AwayTeam,HomeScore,AwayScore
1,2017-05-13,Flamengo,Atlético-MG,1,1
1,2017-05-13,Corinthians,Chapecoense,1,1
1,2017-05-14,Fluminense,Santos,3,2
1,2017-05-14,Palmeiras,Vasco,4,0
1,2017-05-14,Cruzeiro,São Paulo,1,0
1,2017-05-14,Bahia,Atlético-PR,6,2
1,2017-05-14,Ponte Preta,Sport,4,0
1,2017-05-14,Avaí,Vitória,0,0
1,2017-05-14,Grêmio,Botafogo,2,0
1,2017-05-15,Coritiba,Atlético-GO,4,1
1,2017-05-13,Flamengo,Atlético-MG,,
1,2017-05-13,Corinthians,Chapecoense,,
1,2017-05-14,Fluminense,Santos,,
1,2017-05-14,Palmeiras,Vasco,,
1,2017-05-14,Cruzeiro,São Paulo,,
1,2017-05-14,Bahia,Atlético-PR,,
1,2017-05-14,Ponte Preta,Sport,,
1,2017-05-14,Avaí,Vitória,,
1,2017-05-14,Grêmio,Botafogo,,
1,2017-05-15,Coritiba,Atlético-GO,,
2,2017-05-20,Santos,Coritiba,1,0
2,2017-05-20,Atlético-GO,Flamengo,0,3
2,2017-05-20,Chapecoense,Palmeiras,1,0
2,2017-05-21,Vasco,Bahia,2,1
2,2017-05-21,Atlético-MG,Fluminense,1,2
2,2017-05-21,Atlético-PR,Grêmio,0,2
2,2017-05-21,Vitória,Corinthians,0,1
2,2017-05-21,Botafogo,Ponte Preta,2,0
2,2017-05-21,Sport,Cruzeiro,1,1
2,2017-05-22,São Paulo,Avaí,2,0
2,2017-05-20,Santos,Coritiba,,
2,2017-05-20,Atlético-GO,Flamengo,,
2,2017-05-20,Chapecoense,Palmeiras,,
2,2017-05-21,Vasco,Bahia,,
2,2017-05-21,Atlético-MG,Fluminense,,
2,2017-05-21,Atlético-PR,Grêmio,,
2,2017-05-21,Vitória,Corinthians,,
2,2017-05-21,Botafogo,Ponte Preta,,
2,2017-05-21,Sport,Cruzeiro,,
2,2017-05-22,São Paulo,Avaí,,
3,2017-05-27,Vasco,Fluminense,3,2
3,2017-05-27,São Paulo,Palmeiras,2,0
3,2017-05-27,Vitória,Coritiba,0,1
3,2017-05-28,Atlético-MG,Ponte Preta,2,2
3,2017-05-28,Santos,Cruzeiro,0,1
3,2017-05-28,Atlético-PR,Flamengo,1,1
3,2017-05-28,Atlético-GO,Corinthians,0,1
3,2017-05-28,Sport,Grêmio,4,3
3,2017-05-28,Botafogo,Bahia,1,0
3,2017-05-29,Chapecoense,Avaí,2,0
3,2017-05-27,Vasco,Fluminense,,
3,2017-05-27,São Paulo,Palmeiras,,
3,2017-05-27,Vitória,Coritiba,,
3,2017-05-28,Atlético-MG,Ponte Preta,,
3,2017-05-28,Santos,Cruzeiro,,
3,2017-05-28,Atlético-PR,Flamengo,,
3,2017-05-28,Atlético-GO,Corinthians,,
3,2017-05-28,Sport,Grêmio,,
3,2017-05-28,Botafogo,Bahia,,
3,2017-05-29,Chapecoense,Avaí,,
4,2017-06-03,Coritiba,Atlético-PR,1,0
4,2017-06-03,Fluminense,Vitória,2,1
4,2017-06-03,Corinthians,Santos,2,0
4,2017-06-04,Flamengo,Botafogo,0,0
4,2017-06-04,Avaí,Sport,1,0
4,2017-06-04,Palmeiras,Atlético-MG,0,0
4,2017-06-04,Grêmio,Vasco,2,0
4,2017-06-04,Ponte Preta,São Paulo,1,0
4,2017-06-04,Cruzeiro,Chapecoense,0,2
4,2017-06-05,Bahia,Atlético-GO,3,0
4,2017-06-03,Coritiba,Atlético-PR,,
4,2017-06-03,Fluminense,Vitória,,
4,2017-06-03,Corinthians,Santos,,
4,2017-06-04,Flamengo,Botafogo,,
4,2017-06-04,Avaí,Sport,,
4,2017-06-04,Palmeiras,Atlético-MG,,
4,2017-06-04,Grêmio,Vasco,,
4,2017-06-04,Ponte Preta,São Paulo,,
