Round,Date,HomeTeam,AwayTeam,HomeScore,AwayScore
1,2017-05-12,CRB,Ceará,1,0
1,2017-05-12,Guarani,Brasil de Pelotas,2,0
1,2017-05-12,Juventude,Luverdense,2,1
1,2017-05-12,Náutico,América-MG,0,0
1,2017-05-13,ABC,Paraná,0,0
1,2017-05-13,Criciúma,Santa Cruz,1,2
1,2017-05-13,Londrina,Internacional,0,3
1,2017-05-13,Boa Esporte,Vila Nova,0,1
1,2017-05-13,Goiás,Figueirense,0,1
1,2017-05-13,Paysandu,Oeste,2,0
2,2017-05-16,Brasil de Pelotas,Londrina,1,1
2,2017-05-16,Ceará,Boa Esporte,0,0
2,2017-05-19,Paraná,Paysandu,0,0
2,2017-05-19,Vila Nova,Juventude,0,0
2,2017-05-19,América-MG,Goiás,1,1
2,2017-05-20,Santa Cruz,Guarani,2,1
2,2017-05-20,Figueirense,Náutico,3,0
2,2017-05-20,Oeste,Criciúma,1,0
2,2017-05-20,Luverdense,CRB,1,1
2,2017-05-20,Internacional,ABC,1,1
3,2017-05-23,CRB,Santa Cruz,1,0
3,2017-05-23,Guarani,Figueirense,2,0
3,2017-05-26,Criciúma,América-MG,1,3
3,2017-05-26,Boa Esporte,Oeste,1,1
3,2017-05-26,Goiás,Brasil de Pelotas,1,1
3,2017-05-27,ABC,Vila Nova,1,0
3,2017-05-27,Náutico,Ceará,0,2
3,2017-05-27,Londrina,Luverdense,3,1
3,2017-05-27,Paysandu,Internacional,1,0
3,2017-05-27,Juventude,Paraná,2,1
4,2017-05-16,Paraná,Goiás,2,0
4,2017-05-30,Figueirense,Boa Esporte,0,2
4,2017-05-30,Brasil de Pelotas,Náutico,2,0
4,2017-06-02,América-MG,Paysandu,0,2
4,2017-06-02,Oeste,CRB,2,0
4,2017-06-02,Ceará,Londrina,1,0
4,2017-06-03,Santa Cruz,ABC,2,1
4,2017-06-03,Vila Nova,Guarani,3,1
4,2017-06-03,Luverdense,Criciúma,0,0
4,2017-06-03,Internacional,Juventude,1,1
5,2017-06-06,ABC,Paysandu,2,1
5,2017-06-06,Guarani,Boa Esporte,2,1
5,2017-06-06,Juventude,Criciúma,1,0
5,2017-06-06,Náutico,Oeste,1,1
5,2017-06-06,Figueirense,Internacional,1,2
5,2017-06-06,Goiás,Santa Cruz,2,1
5,2017-06-06,Londrina,Paraná,1,1
5,2017-06-06,América-MG,Ceará,1,0
5,2017-06-06,Luverdense,Vila Nova,1,1
5,2017-06-06,CRB,Brasil de Pelotas,0,1
6,2017-06-09,Criciúma,CRB,1,0
6,2017-06-09,Santa Cruz,Londrina,1,3
6,2017-06-09,Vila Nova,América-MG,2,0
6,2017-06-09,Paysandu,Goiás,0,1
6,2017-06-10,Brasil de Pelotas,Ceará,2,3
6,2017-06-10,Paraná,Guarani,0,1
6,2017-06-10,Boa Esporte,Juventude,0,2
6,2017-06-10,Internacional,Náutico,4,2
6,2017-06-10,ABC,Figueirense,2,2
6,2017-06-10,Oeste,Luverdense,0,0
7,2017-06-13,Náutico,Paraná,1,2
7,2017-06-13,Guarani,Paysandu,2,0
7,2017-06-13,Londrina,Oeste,1,1
7,2017-06-13,Figueirense,Criciúma,2,2
7,2017-06-13,Goiás,Boa Esporte,4,1
7,2017-06-13,Juventude,ABC,3,0
7,2017-06-13,CRB,Vila Nova,1,2
7,2017-06-13,Ceará,Santa Cruz,1,3
7,2017-06-13,América-MG,Internacional,1,1
7,2017-06-13,Luverdense,Brasil de Pelotas,4,0
8,2017-06-16,Criciúma,Guarani,3,2
8,2017-06-16,Ceará,Luverdense,1,1
8,2017-06-16,Paraná,Figueirense,1,0
8,2017-06-16,Goiás,ABC,1,2
8,2017-06-17,Santa Cruz,Internacional,0,0
8,2017-06-17,Boa Esporte,Náutico,2,1
8,2017-06-17,Paysandu,Juventude,0,0
8,2017-06-17,CRB,Londrina,0,3
8,2017-06-17,Brasil de Pelotas,Vila Nova,3,0
8,2017-06-17,Oeste,América-MG,0,0
9,2017-06-20,Náutico,Goiás,2,3
9,2017-06-20,Juventude,Brasil de Pelotas,1,2
9,2017-06-20,América-MG,Santa Cruz,1,0
9,2017-06-20,ABC,CRB,1,3
9,2017-06-20,Figueirense,Luverdense,2,3
9,2017-06-20,Londrina,Criciúma,0,1
9,2017-06-20,Paysandu,Boa Esporte,0,0
9,2017-06-20,Vila Nova,Ceará,1,1
9,2017-06-20,Guarani,Oeste,0,0
9,2017-06-20,Internacional,Paraná,0,0
10,2017-06-23,CRB,Paysandu,2,1
10,2017-06-23,Boa Esporte,ABC,2,1
10,2017-06-23,Criciúma,Paraná,2,1
10,2017-06-23,Luverdense,América-MG,0,3
10,2017-06-24,Ceará,Oeste,3,0
10,2017-06-24,Santa Cruz,Figueirense,1,1
10,2017-06-24,Goiás,Vila Nova,0,2
10,2017-06-24,Brasil de Pelotas,Internacional,0,1
10,2017-06-24,Londrina,Juventude,2,2
10,2017-06-24,Guarani,Náutico,2,1
11,2017-06-27,Juventude,Goiás,3,0
11,2017-06-27,Figueirense,Londrina,3,1
11,2017-06-30,Paysandu,Luverdense,1,1
11,2017-06-30,Vila Nova,Criciúma,0,0
11,2017-06-30,Náutico,CRB,0,1
11,2017-07-01,Oeste,Santa Cruz,2,0
11,2017-07-01,Paraná,Ceará,1,0
11,2017-07-01,Internacional,Boa Esporte,0,1
11,2017-07-01,ABC,Guarani,0,1
11,2017-07-01,América-MG,Brasil de Pelotas,3,0
12,2017-07-04,Paysandu,Londrina,1,2
